YYYYMMDD;HHMM;Prec;StDev;%Time;Q;S
20201116;1200;0.00;0.09;0.00;2;1
20201117;1200;0.00;0.05;0.00;2;1
20201118;1200;0.00;0.19;0.00;2;1
20201119;1200;0.00;0.05;0.00;2;1
20201120;1200;0.00;0.09;0.00;2;1
20201121;1200;0.00;0.19;0.00;2;1
20201122;1200;0.00;0.14;0.00;2;1
20201123;1200;0.33;2.33;3.00;2;1
20201124;1200;0.00;0.09;0.00;2;1
20201125;1200;0.09;1.71;1.00;2;1
20201126;1200;0.05;0.76;1.00;2;1
20201127;1200;0.00;0.19;0.00;2;1
20201128;1200;0.00;0.24;0.00;2;1
20201129;1200;0.00;0.19;0.00;2;1
20201130;1200;0.00;0.24;0.00;2;1
20201201;1200;0.00;0.19;0.00;2;1
20201202;1200;0.00;0.24;0.00;2;1
20201203;1200;0.00;0.19;0.00;2;1
20201204;1200;0.00;0.19;0.00;2;1
20201205;1200;0.00;0.38;0.00;2;1
20201206;1200;0.05;0.71;1.00;2;1
20201207;1200;0.00;0.43;0.00;2;1
20201208;1200;0.00;0.28;1.00;2;1
20201209;1200;0.00;0.28;0.00;2;1
20201210;1200;0.00;0.14;0.00;2;1
20201211;1200;0.00;1.00;0.00;2;1
20201212;1200;0.00;0.57;0.00;2;1
20201213;1200;0.00;0.14;0.00;2;1
20201214;1200;0.05;1.33;1.00;2;1
20201215;1200;0.00;0.14;0.00;2;1
20201216;1200;0.00;0.14;0.00;2;1
20201217;1200;0.00;0.09;0.00;2;1
20201218;1200;0.00;0.14;0.00;2;1
20201219;1200;0.00;0.28;0.00;2;1
20201220;1200;0.00;0.14;0.00;2;1
20201221;1200;0.00;0.19;0.00;2;1
20201222;1200;0.09;0.95;2.00;2;1
20201223;1200;0.00;0.71;0.00;2;1
20201224;1200;0.00;0.24;0.00;2;1
20201225;1200;0.00;0.38;0.00;2;1
20201226;1200;0.00;0.33;0.00;2;1
20201227;1200;0.00;0.52;0.00;2;1
20201228;1200;0.05;0.76;1.00;2;1
20201229;1200;0.00;0.28;0.00;2;1
20201230;1200;0.00;0.19;0.00;2;1
20201231;1200;0.00;0.38;0.00;2;1
